eval_id,retrieval_method,upstream_split,upstream_row_index,query_text,expected_attack_ids,retrieved_attack_ids,retrieved_scores,recall_at_1,recall_at_3,recall_at_5,recall_at_10,hit_at_3,hit_at_10,mrr
dev-0000,vector,dev,0,"For the discovery phase, the Carbanak and FIN7 campaigns gain more knowledge about the system by gathering listings of various information: open application windows, running processes, IP addresses and other network identifiers in remote systems, detailed hardware and system information, system network configuration and settings, and system owners and users.",T1033;T1016;T1057;T1082;T1590.005;T1590;T1049,T1010;T1007;T1082;T1614;T1217;T1012;T1596.005;T1518.001;T1046;T1518,0.553550;0.540802;0.510653;0.491470;0.488356;0.481105;0.478435;0.476629;0.474133;0.471828,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,1,1,0.3333333333333333
dev-0001,vector,dev,1,The packed executable stores the LV ransomware binary as an RC4-encrypted data within a section named “enc.”,T1486,T1679;T1560.001;T1486;T1027.002;T1680;T1560.002;T1027.015;T1027.004;T1027;T1003.004,0.511197;0.494535;0.487435;0.448576;0.428802;0.427185;0.423865;0.416852;0.410850;0.408113,0.0,1.0,1.0,1.0,1,1,0.3333333333333333
dev-0002,vector,dev,2,"As shown below in Figure 4, the DLL was saved to the victim’s home directory at C:\Users\[username]\tru.dll. It ran using regsvr32.exe.",T1218.010,T1218.010;T1218.011;T1546.009;T1546.010;T1505.005;T1055.001;T1218.009;T1547.004;T1547.010;T1547.002,0.581401;0.543835;0.536385;0.534961;0.503610;0.492867;0.487566;0.477281;0.463943;0.461644,1.0,1.0,1.0,1.0,1,1,1.0
dev-0003,vector,dev,3,"To steal information from the Windows Vault, it appears that the Agent Tesla authors converted a PowerSploit script into C# to build a .NET assembly.",T1059.001;T1587.001;T1588.001,T1218.009;T1127.001;T1218.004;T1059.001;T1574.014;T1218.002;T1055.001;T1546.007;T1218.010;T1027.004,0.441143;0.439478;0.438345;0.437498;0.420259;0.418643;0.411198;0.410274;0.400656;0.395832,0.0,0.0,0.3333333333333333,0.3333333333333333,0,1,0.25
dev-0004,vector,dev,4,"Threat actors behind Cring used weaponized tools in their attacks. One of these tools is Mimikatz, which was used to steal account credentials of users who had previously logged into the system.",T1528,T1003;T1003.001;T1056.003;T1003.002;T1078.003;T1213.004;T1534;T1586;T1556;T1204.004,0.544701;0.537738;0.496227;0.493357;0.492235;0.488852;0.488163;0.485148;0.482901;0.478545,0.0,0.0,0.0,0.0,0,0,0.0
dev-0005,vector,dev,5,"After loading the Cobalt Strike DLL, there was an almost instant injection by the process into the Werfault process.",T1055.001;T1055.011;T1055.002,T1055.001;T1055.012;T1055.003;T1574.014;T1055.004;T1218.011;T1055.011;T1574.001;T1055;T1546.010,0.465228;0.406248;0.397659;0.368812;0.360709;0.355461;0.353850;0.351214;0.345274;0.343778,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1,1,1.0
dev-0006,vector,dev,6,"In this incident, CARBON SPIDER also used the KillACK PS backdoor, executing the malware using both PowerShell and PowerShell ISE. KillACK sends host information to a C2 server (in this case, againcome[.]com or besaintegration[.]com) and executes provided PS script blocks. Multiple KillACK modules have been observed by CrowdStrike Intelligence, including modules for conducting self-propagation and AMSI hot-patching, as well as for executing Cobalt Strike stagers and enumerating network information.",T1546.013;T1059.001,T1218.010;T1027.003;T1546.007;T1059.001;T1569.002;T1574.014;T1218.015;T1216.002;T1574.007;T1102.001,0.491760;0.484987;0.480897;0.466723;0.459035;0.449747;0.445809;0.441834;0.441088;0.438914,0.0,0.0,0.5,0.5,0,1,0.25
dev-0007,vector,dev,7,"A threat actor with knowledge of the machineKey can construct a malicious ViewState and then generate a new and valid MAC that the server accepts. With a valid MAC, the server will then deserialize the malicious ViewState, resulting in the execution of code on the server. Publicly available tools such as YSoSerial.NET exist to construct these malicious ViewStates. This is precisely how APT41 initiated their campaign in May 2021. ",T1037.002,T1036;T1674;T1480.001;T1219.003;T1614.001;T1127;T1036.005;T1497.001;T1573;T1497.002,0.467187;0.466068;0.466038;0.465005;0.457288;0.456745;0.455968;0.440196;0.435692;0.435416,0.0,0.0,0.0,0.0,0,0,0.0
dev-0008,vector,dev,8,"Similar to SPRITE SPIDER, CARBON SPIDER has gained access to ESXi servers using valid credentials. The adversary has typically accessed these systems via the vCenter web interface, using legitimate credentials, but has also logged in over SSH using the Plink utility to drop Darkside.",T1505.003,T1021.004;T1102.003;T1218.015;T1190;T1018;T1675;T1564.006;T1673;T1567.001;T1505.006,0.516208;0.458679;0.451551;0.440963;0.435198;0.423715;0.417979;0.417355;0.412336;0.411783,0.0,0.0,0.0,0.0,0,0,0.0
dev-0009,vector,dev,9,"What is peculiar about this file is it is a variant of the open-source MicroBackdoor, a backdoor allowing an attacker to browse the file system, upload and download files, execute commands and remove itself from the system (Figure 13). As the threat actor would normally have a foothold into the network prior to ransomware deployment, it raises the question of why this backdoor is part of the ransomware execution. One possibility is that it is used to monitor ransomed systems for blue team and incident response (IR) activity, though even in that case it is unusual to see offensive tools dropped at this point in the infection.",T1588.001,T1679;T1486;T1204.002;T1608.001;T1027;T1203;T1218.001;T1036.006;T1027.015;T1027.005,0.569760;0.560643;0.525470;0.523554;0.517415;0.515083;0.504733;0.501994;0.492715;0.488186,0.0,0.0,0.0,0.0,0,0,0.0
