eval_id,retrieval_method,upstream_split,upstream_row_index,query_text,expected_attack_ids,word_count,candidate_k,top_k,embedding_model,reranker_model,vector_candidate_attack_ids,vector_candidate_scores,vector_candidate_ranks,retrieved_attack_ids,retrieved_names,retrieved_vector_scores,original_vector_ranks,reranker_scores,reranked_ranks,embedding_ms,vector_search_ms,reranking_ms,total_retrieval_ms,fallback_used,recall_at_1,recall_at_3,recall_at_5,recall_at_10,hit_at_3,hit_at_10,mrr
dev-0000,vector_reranked,dev,0,"For the discovery phase, the Carbanak and FIN7 campaigns gain more knowledge about the system by gathering listings of various information: open application windows, running processes, IP addresses and other network identifiers in remote systems, detailed hardware and system information, system network configuration and settings, and system owners and users.",T1033;T1016;T1057;T1082;T1590.005;T1590;T1049,50,20,10,sentence-transformers/all-MiniLM-L6-v2,cross-encoder/ms-marco-MiniLM-L-6-v2,T1010;T1007;T1082;T1614;T1217;T1012;T1596.005;T1518.001;T1046;T1518;T1057;T1016;T1602;T1654;T1613;T1590.006;T1590.004;T1518.002;T1592.001;T1592.002,0.553550;0.540802;0.510653;0.491470;0.488356;0.481105;0.478435;0.476629;0.474133;0.471828;0.469290;0.465020;0.464233;0.461449;0.459838;0.456347;0.454595;0.447213;0.446786;0.446773,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,T1010;T1007;T1057;T1082;T1654;T1217;T1012;T1016;T1518;T1614,Application Window Discovery;System Service Discovery;Process Discovery;System Information Discovery;Log Enumeration;Browser Information Discovery;Query Registry;System Network Configuration Discovery;Software Discovery;System Location Discovery,0.553550;0.540802;0.469290;0.510653;0.461449;0.488356;0.481105;0.465020;0.471828;0.491470,1;2;11;3;14;5;6;12;10;4,-0.894232;-4.410269;-4.524895;-4.582550;-5.323308;-5.377977;-5.399920;-5.784861;-5.793855;-5.940615,1;2;3;4;5;6;7;8;9;10,510.882,17.705,1497.638,2026.232,False,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,1,1,0.3333333333333333
dev-0001,vector_reranked,dev,1,The packed executable stores the LV ransomware binary as an RC4-encrypted data within a section named “enc.”,T1486,17,20,10,sentence-transformers/all-MiniLM-L6-v2,cross-encoder/ms-marco-MiniLM-L-6-v2,T1679;T1560.001;T1486;T1027.002;T1680;T1560.002;T1027.015;T1027.004;T1027;T1003.004;T1560;T1140;T1074.001;T1564.013;T1027.013;T1005;T1218.001;T1560.003;T1567.003;T1006,0.511197;0.494535;0.487435;0.448576;0.428802;0.427185;0.423865;0.416852;0.410850;0.408113;0.407626;0.407289;0.403790;0.398929;0.393167;0.384718;0.379417;0.379314;0.377471;0.375352,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,T1486;T1679;T1680;T1027.002;T1027.013;T1027;T1027.004;T1560.001;T1027.015;T1560.002,Data Encrypted for Impact;Selective Exclusion;Local Storage Discovery;Software Packing;Encrypted/Encoded File;Obfuscated Files or Information;Compile After Delivery;Archive via Utility;Compression;Archive via Library,0.487435;0.511197;0.428802;0.448576;0.393167;0.410850;0.416852;0.494535;0.423865;0.427185,3;1;5;4;15;9;8;2;7;6,-3.907217;-5.470319;-5.553218;-5.876451;-5.983017;-7.204254;-7.207397;-7.322686;-7.767247;-8.279075,1;2;3;4;5;6;7;8;9;10,21.086,12.417,1467.041,1500.551,False,1.0,1.0,1.0,1.0,1,1,1.0
dev-0002,vector_reranked,dev,2,"As shown below in Figure 4, the DLL was saved to the victim’s home directory at C:\Users\[username]\tru.dll. It ran using regsvr32.exe.",T1218.010,21,20,10,sentence-transformers/all-MiniLM-L6-v2,cross-encoder/ms-marco-MiniLM-L-6-v2,T1218.010;T1218.011;T1546.009;T1546.010;T1505.005;T1055.001;T1218.009;T1547.004;T1547.010;T1547.002;T1574.001;T1556.008;T1546.007;T1543.003;T1218.007;T1574.012;T1574.014;T1218.004;T1218.012;T1547.005,0.581401;0.543835;0.536385;0.534961;0.503610;0.492867;0.487566;0.477281;0.463943;0.461644;0.461331;0.453534;0.447319;0.437087;0.433428;0.430771;0.428933;0.424850;0.424312;0.423435,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,T1505.005;T1574.012;T1574.001;T1547.004;T1546.010;T1055.001;T1547.010;T1556.008;T1218.011;T1547.005,Terminal Services DLL;COR_PROFILER;DLL;Winlogon Helper DLL;AppInit DLLs;Dynamic-link Library Injection;Port Monitors;Network Provider DLL;Rundll32;Security Support Provider,0.503610;0.430771;0.461331;0.477281;0.534961;0.492867;0.463943;0.453534;0.543835;0.423435,5;16;11;8;4;6;9;12;2;20,-4.400477;-4.763952;-5.698376;-5.702147;-6.028141;-6.726808;-6.972505;-6.981577;-7.303496;-7.606046,1;2;3;4;5;6;7;8;9;10,23.443,12.042,1340.718,1376.209,False,0.0,0.0,0.0,0.0,0,0,0.0
dev-0003,vector_reranked,dev,3,"To steal information from the Windows Vault, it appears that the Agent Tesla authors converted a PowerSploit script into C# to build a .NET assembly.",T1059.001;T1587.001;T1588.001,25,20,10,sentence-transformers/all-MiniLM-L6-v2,cross-encoder/ms-marco-MiniLM-L-6-v2,T1218.009;T1127.001;T1218.004;T1059.001;T1574.014;T1218.002;T1055.001;T1546.007;T1218.010;T1027.004;T1216;T1220;T1218.007;T1055.002;T1218.014;T1055.003;T1059.005;T1218.011;T1021.003;T1053.005,0.441143;0.439478;0.438345;0.437498;0.420259;0.418643;0.411198;0.410274;0.400656;0.395832;0.391168;0.389043;0.384251;0.378630;0.366558;0.366016;0.365281;0.363059;0.360065;0.358122,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,T1059.001;T1574.014;T1127.001;T1220;T1053.005;T1216;T1218.014;T1021.003;T1218.002;T1218.009,PowerShell;AppDomainManager;MSBuild;XSL Script Processing;Scheduled Task;System Script Proxy Execution;MMC;Distributed Component Object Model;Control Panel;Regsvcs/Regasm,0.437498;0.420259;0.439478;0.389043;0.358122;0.391168;0.366558;0.360065;0.418643;0.441143,4;5;2;12;20;11;15;19;6;1,-7.010944;-9.108190;-9.180455;-9.546032;-9.692303;-9.703781;-9.914628;-9.931068;-9.970727;-9.978518,1;2;3;4;5;6;7;8;9;10,22.265,12.109,1390.586,1424.966,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,1,1.0
dev-0004,vector_reranked,dev,4,"Threat actors behind Cring used weaponized tools in their attacks. One of these tools is Mimikatz, which was used to steal account credentials of users who had previously logged into the system.",T1528,32,20,10,sentence-transformers/all-MiniLM-L6-v2,cross-encoder/ms-marco-MiniLM-L-6-v2,T1003;T1003.001;T1056.003;T1003.002;T1078.003;T1213.004;T1534;T1586;T1556;T1204.004;T1003.004;T1056;T1606;T1589.001;T1078;T1078.002;T1056.001;T1531;T1552;T1552.008,0.544701;0.537738;0.496227;0.493357;0.492235;0.488852;0.488163;0.485148;0.482901;0.478545;0.477828;0.476313;0.475417;0.475138;0.475095;0.472416;0.471116;0.470664;0.466659;0.464694,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,T1003.004;T1003;T1589.001;T1534;T1003.002;T1056.001;T1586;T1078;T1606;T1531,LSA Secrets;OS Credential Dumping;Credentials;Internal Spearphishing;Security Account Manager;Keylogging;Compromise Accounts;Valid Accounts;Forge Web Credentials;Account Access Removal,0.477828;0.544701;0.475138;0.488163;0.493357;0.471116;0.485148;0.475095;0.475417;0.470664,11;1;14;7;4;17;8;15;13;18,-3.133030;-3.261989;-3.789029;-3.960734;-4.111608;-4.872802;-4.949728;-5.158473;-5.310266;-5.341411,1;2;3;4;5;6;7;8;9;10,22.215,11.872,1459.861,1493.955,False,0.0,0.0,0.0,0.0,0,0,0.0
dev-0005,vector_reranked,dev,5,"After loading the Cobalt Strike DLL, there was an almost instant injection by the process into the Werfault process.",T1055.001;T1055.011;T1055.002,19,20,10,sentence-transformers/all-MiniLM-L6-v2,cross-encoder/ms-marco-MiniLM-L-6-v2,T1055.001;T1055.012;T1055.003;T1574.014;T1055.004;T1218.011;T1055.011;T1574.001;T1055;T1546.010;T1055.002;T1546.009;T1055.008;T1218.013;T1559.001;T1574.013;T1218.008;T1620;T1564.010;T1127.001,0.465228;0.406248;0.397659;0.368812;0.360709;0.355461;0.353850;0.351214;0.345274;0.343778;0.336491;0.335340;0.325495;0.324658;0.319408;0.314193;0.309075;0.307495;0.303517;0.292913,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,T1055.001;T1055;T1055.011;T1546.010;T1574.001;T1574.014;T1055.004;T1574.013;T1055.002;T1218.013,Dynamic-link Library Injection;Process Injection;Extra Window Memory Injection;AppInit DLLs;DLL;AppDomainManager;Asynchronous Procedure Call;KernelCallbackTable;Portable Executable Injection;Mavinject,0.465228;0.345274;0.353850;0.343778;0.351214;0.368812;0.360709;0.314193;0.336491;0.324658,1;9;7;10;8;4;5;16;11;14,-2.613231;-7.123323;-7.546748;-7.760056;-7.916658;-8.085925;-8.336094;-8.378114;-8.439415;-8.694297,1;2;3;4;5;6;7;8;9;10,19.396,12.177,1427.767,1459.345,False,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1,1,1.0
dev-0006,vector_reranked,dev,6,"In this incident, CARBON SPIDER also used the KillACK PS backdoor, executing the malware using both PowerShell and PowerShell ISE. KillACK sends host information to a C2 server (in this case, againcome[.]com or besaintegration[.]com) and executes provided PS script blocks. Multiple KillACK modules have been observed by CrowdStrike Intelligence, including modules for conducting self-propagation and AMSI hot-patching, as well as for executing Cobalt Strike stagers and enumerating network information.",T1546.013;T1059.001,69,20,10,sentence-transformers/all-MiniLM-L6-v2,cross-encoder/ms-marco-MiniLM-L-6-v2,T1218.010;T1027.003;T1546.007;T1059.001;T1569.002;T1574.014;T1218.015;T1216.002;T1574.007;T1102.001;T1559.001;T1218.001;T1588.002;T1678;T1564.011;T1027.004;T1608.002;T1055.003;T1518.001;T1679,0.491760;0.484987;0.480897;0.466723;0.459035;0.449747;0.445809;0.441834;0.441088;0.438914;0.438672;0.433024;0.430508;0.429281;0.425778;0.424231;0.424039;0.423123;0.422925;0.419617,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,T1059.001;T1588.002;T1027.003;T1564.011;T1608.002;T1569.002;T1102.001;T1216.002;T1055.003;T1678,PowerShell;Tool;Steganography;Ignore Process Interrupts;Upload Tool;Service Execution;Dead Drop Resolver;SyncAppvPublishingServer;Thread Execution Hijacking;Delay Execution,0.466723;0.430508;0.484987;0.425778;0.424039;0.459035;0.438914;0.441834;0.423123;0.429281,4;13;2;15;17;5;10;8;18;14,-3.191730;-3.881552;-4.192165;-4.316328;-4.605961;-5.077548;-5.120298;-5.596922;-5.940418;-5.960417,1;2;3;4;5;6;7;8;9;10,28.385,10.639,1479.353,1518.382,False,0.5,0.5,0.5,0.5,1,1,1.0
dev-0007,vector_reranked,dev,7,"A threat actor with knowledge of the machineKey can construct a malicious ViewState and then generate a new and valid MAC that the server accepts. With a valid MAC, the server will then deserialize the malicious ViewState, resulting in the execution of code on the server. Publicly available tools such as YSoSerial.NET exist to construct these malicious ViewStates. This is precisely how APT41 initiated their campaign in May 2021. ",T1037.002,69,20,10,sentence-transformers/all-MiniLM-L6-v2,cross-encoder/ms-marco-MiniLM-L-6-v2,T1036;T1674;T1480.001;T1219.003;T1614.001;T1127;T1036.005;T1497.001;T1573;T1497.002;T1518;T1047;T1518.001;T1218;T1574;T1204.004;T1176.002;T1036.012;T1210;T1176,0.467187;0.466068;0.466038;0.465005;0.457288;0.456745;0.455968;0.440196;0.435692;0.435416;0.433388;0.432415;0.425237;0.424916;0.424232;0.422866;0.422641;0.422636;0.421627;0.418873,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,T1674;T1204.004;T1210;T1614.001;T1497.002;T1176.002;T1036.005;T1219.003;T1036;T1573,Input Injection;Malicious Copy and Paste;Exploitation of Remote Services;System Language Discovery;User Activity Based Checks;IDE Extensions;Match Legitimate Resource Name or Location;Remote Access Hardware;Masquerading;Encrypted Channel,0.466068;0.422866;0.421627;0.457288;0.435416;0.422641;0.455968;0.465005;0.467187;0.435692,2;16;19;5;10;17;7;4;1;9,-2.272339;-2.421241;-2.522574;-2.579722;-3.039020;-3.838952;-3.916601;-4.045520;-4.405427;-4.508506,1;2;3;4;5;6;7;8;9;10,25.694,9.811,1387.121,1422.632,False,0.0,0.0,0.0,0.0,0,0,0.0
dev-0008,vector_reranked,dev,8,"Similar to SPRITE SPIDER, CARBON SPIDER has gained access to ESXi servers using valid credentials. The adversary has typically accessed these systems via the vCenter web interface, using legitimate credentials, but has also logged in over SSH using the Plink utility to drop Darkside.",T1505.003,44,20,10,sentence-transformers/all-MiniLM-L6-v2,cross-encoder/ms-marco-MiniLM-L-6-v2,T1021.004;T1102.003;T1218.015;T1190;T1018;T1675;T1564.006;T1673;T1567.001;T1505.006;T1056.003;T1136;T1090.001;T1136.001;T1102.001;T1102;T1210;T1102.002;T1564;T1567.003,0.516208;0.458679;0.451551;0.440963;0.435198;0.423715;0.417979;0.417355;0.412336;0.411783;0.411286;0.411017;0.407799;0.407774;0.406970;0.405200;0.405072;0.401317;0.401075;0.397818,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,T1210;T1673;T1021.004;T1190;T1567.001;T1136.001;T1675;T1564.006;T1505.006;T1102.003,Exploitation of Remote Services;Virtual Machine Discovery;SSH;Exploit Public-Facing Application;Exfiltration to Code Repository;Local Account;ESXi Administration Command;Run Virtual Instance;vSphere Installation Bundles;One-Way Communication,0.405072;0.417355;0.516208;0.440963;0.412336;0.407774;0.423715;0.417979;0.411783;0.458679,17;8;1;4;9;14;6;7;10;2,-0.372808;-2.623775;-2.653262;-2.855222;-3.452650;-3.926092;-4.540156;-5.066603;-5.269258;-5.282764,1;2;3;4;5;6;7;8;9;10,23.716,11.982,1282.375,1318.08,False,0.0,0.0,0.0,0.0,0,0,0.0
dev-0009,vector_reranked,dev,9,"What is peculiar about this file is it is a variant of the open-source MicroBackdoor, a backdoor allowing an attacker to browse the file system, upload and download files, execute commands and remove itself from the system (Figure 13). As the threat actor would normally have a foothold into the network prior to ransomware deployment, it raises the question of why this backdoor is part of the ransomware execution. One possibility is that it is used to monitor ransomed systems for blue team and incident response (IR) activity, though even in that case it is unusual to see offensive tools dropped at this point in the infection.",T1588.001,107,20,10,sentence-transformers/all-MiniLM-L6-v2,cross-encoder/ms-marco-MiniLM-L-6-v2,T1679;T1486;T1204.002;T1608.001;T1027;T1203;T1218.001;T1036.006;T1027.015;T1027.005;T1027.001;T1027.003;T1027.006;T1036.007;T1036.008;T1140;T1070.004;T1027.013;T1564.013;T1485,0.569760;0.560643;0.525470;0.523554;0.517415;0.515083;0.504733;0.501994;0.492715;0.488186;0.485154;0.484848;0.484625;0.481130;0.478886;0.475472;0.475121;0.470718;0.466863;0.461613,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,T1608.001;T1036.007;T1204.002;T1070.004;T1036.008;T1203;T1027;T1140;T1027.003;T1679,Upload Malware;Double File Extension;Malicious File;File Deletion;Masquerade File Type;Exploitation for Client Execution;Obfuscated Files or Information;Deobfuscate/Decode Files or Information;Steganography;Selective Exclusion,0.523554;0.481130;0.525470;0.475121;0.478886;0.515083;0.517415;0.475472;0.484848;0.569760,4;14;3;17;15;6;5;16;12;1,-3.010866;-3.892910;-4.051961;-4.517793;-4.542833;-4.854636;-5.349583;-5.372269;-5.459982;-5.545008,1;2;3;4;5;6;7;8;9;10,27.928,10.982,1675.723,1714.639,False,0.0,0.0,0.0,0.0,0,0,0.0
