eval_id,winner_31,winner_35,confidence_31,confidence_35
dev-0001,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,medium
dev-0002,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
dev-0014,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,low
dev-0015,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,high
dev-0020,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,medium
dev-0024,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,medium
dev-0026,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,medium
dev-0027,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,high
dev-0033,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,low
dev-0035,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,high
dev-0038,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,high
dev-0040,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,low
dev-0041,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,high
dev-0043,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,medium
dev-0046,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,high
dev-0051,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
dev-0055,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,medium
dev-0057,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,high
dev-0060,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
dev-0064,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
dev-0065,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,low
test-0009,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,high
test-0012,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
test-0017,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
test-0019,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
test-0024,gemini-3.1-flash-lite,gemini-3.5-flash-lite,medium,medium
test-0026,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,high
test-0029,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,high
test-0032,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,low
test-0037,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,high
test-0041,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,high
test-0045,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,high
test-0050,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,high
test-0052,gemini-3.1-flash-lite,gemini-3.5-flash-lite,medium,high
test-0054,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,medium
test-0058,gemini-3.5-flash-lite,gemini-3.1-flash-lite,medium,low
test-0064,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,low
test-0069,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,high
test-0072,gemini-3.5-flash-lite,gemini-3.1-flash-lite,medium,high
test-0073,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,high
test-0076,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,high
test-0085,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
test-0087,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,medium
test-0094,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
test-0095,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,low
test-0112,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
test-0115,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,medium
test-0117,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,medium
test-0119,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,high
test-0120,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,high
test-0121,gemini-3.1-flash-lite,gemini-3.5-flash-lite,medium,medium
test-0125,gemini-3.1-flash-lite,gemini-3.5-flash-lite,medium,medium
test-0137,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
test-0142,gemini-3.1-flash-lite,gemini-3.5-flash-lite,medium,low
test-0143,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
test-0148,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
test-0149,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
