eval_id,winner_31,winner_35,confidence_31,confidence_35
dev-0007,gemini-3.1-flash-lite,gemini-3.5-flash-lite,low,high
dev-0013,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,high
dev-0014,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,medium
dev-0015,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,high
dev-0025,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
dev-0028,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,medium
dev-0033,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,high
dev-0037,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,high
dev-0043,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
dev-0044,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
dev-0045,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,high
dev-0046,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,medium
dev-0047,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,high
dev-0050,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,low
dev-0052,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,high
dev-0058,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,high
dev-0062,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
dev-0063,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,high
dev-0065,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
test-0004,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,high
test-0006,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,medium
test-0007,gemini-3.5-flash-lite,gemini-3.1-flash-lite,medium,medium
test-0009,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
test-0016,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,high
test-0020,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,high
test-0030,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
test-0033,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,low
test-0041,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,high
test-0044,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,high
test-0049,gemini-3.5-flash-lite,gemini-3.1-flash-lite,medium,high
test-0050,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
test-0053,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,high
test-0059,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,high
test-0063,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
test-0066,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,low
test-0067,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,high
test-0068,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
test-0076,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,high
test-0078,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,high
test-0079,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,low
test-0081,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,high
test-0085,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
test-0093,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
test-0094,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
test-0107,gemini-3.5-flash-lite,gemini-3.1-flash-lite,medium,low
test-0110,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
test-0111,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,low
test-0115,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
test-0121,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,medium
test-0128,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,high
test-0135,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,low
test-0140,gemini-3.1-flash-lite,gemini-3.5-flash-lite,high,medium
test-0143,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,medium
test-0145,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,low
test-0152,gemini-3.5-flash-lite,gemini-3.1-flash-lite,high,medium
